math score,reading score,writing score,placement score,club join year,placement offer count
74,77,61,65,2023,1
64,98,78,73,2024,1
94,83,67,77,2023,2
78,89,67,96,2023,1
72,91,67,63,2024,1
73,76,70,84,2022,2
150,79,65,63,2024,1
75,63,60,71,2024,1
68,100,76,79,2022,2
65,88,72,77,2023,2
67,90,67,80,2022,2
71,78,64,61,2024,1
65,86,69,63,2024,1
71,20,71,4,2022,1
69,88,76,86,2024,3
77,85,1,72,2022,1
78,68,74,71,2024,1
73,95,62,78,2022,2
70,100,77,64,2023,1
62,80,77,80,2023,2
76,62,74,64,2024,1
69,79,76,77,2022,2
65,91,73,65,2024,1
68,84,62,70,2023,1
72,89,69,61,2024,1
62,80,75,90,2022,3
76,76,66,64,2022,1
62,67,68,89,2023,3
74,97,67,90,2022,3
